tt332572	Haider	3.7	4	3	2	10/2/2014	7, 5, 2	8.3	7334098	690000000
tt3645014	The Xpose	4	2	5	1	5/16/2014	8	3.3	326364	220000000
tt2574698	Gunday	4	2	3	5	2/14/2014	7, 5, 2	2	2614814	1200000000
tt2338151	PK	3.66667	4.5	3	8	12/19/2014	1, 2, 3	8.3	14895545	7350000000
tt2372222	Kick	4.1	2	5	14	7/25/2014	7, 1, 3	5.5	11466745	3770000000
tt1188982	Jai Ho	3.7	2	5	6	1/24/2014	7, 2	5.5	1105693	1830000000
tt2461132	Happy New Year	3.5	3	5	15	10/23/2014	7, 1, 5	5.4	6761803	3830000000
tt3531852	Bhoothnath Returns	4.5	3.5	3	2	4/11/2014	1, 2, 18	6.9	3330035	684000000
tt3742284	Nh10	2	2	5	1	3/13/2015	7, 5, 2	7.2	6142773	330000000
tt3547616	All Is Well		3	5	2	8/21/2015	1, 2, 3	3.9	4924478	371000000
tt3483612	Hamari Adhuri Kahaani	3.5	3	5	3	6/12/2015	2	6.6	5023886	412300000
tt4500734	Ek Paheli Leela	3	2	5	1	4/10/2015	17, 3, 8	3.8	17760865	2657000000
tt4271730	Alone	2.66667	2	5	1	1/16/2015	15	3.7	9520032	250000000
tt3159708	Welcome Back	3.66667	2.5	3	8	9/4/2015	7, 1, 5	4.2	8129696	1332600000
tt4535650	Dilwale	3.5	3	3	10	12/18/2015	7, 1, 5	5.4	25346323	3810000000
tt3735246	Bajirao Mastani	4	4	3	12	12/18/2015	2, 13, 3	7.2	12106304	2698700000
tt4865436	Hate Story 3	2	2	5	1	12/4/2015	2, 8	4.4	26576840	550000000
tt3148502	Tamasha	4	4	5	6	11/27/2015	1, 2, 3	7.2	13941249	1061800000
tt4501576	Dirty Politics	3	2	5	7	3/6/2015	2	2.7	2466795	1380000000
tt4355892	Mumbai Can Dance Saalaa	2	2	5	3	1/2/2015	2	3.2	54791	180000000
tt3595298	Prem Ratan Dhan Payo	3.16667	3	3	11	11/12/2015	7, 2, 9	4.9	21839934	4310000000
tt4024944	Main Aur Charles	3.5	2	5	6	10/30/2015	7, 4, 5	6.3	2324588	95000000
