tt2804026	Aurangzeb	2	2	137	2	5/17/2013	Action, Drama, Thriller	6.6	1988860
tt3415692	Mahabharat	4.5	2.5	105	5	12/25/2013	Animation, Action	5.6	137494
tt3303416	Ya Rab	2	2	120	2	2/7/2014	Drama	6.4	329185
tt3175038	Ek Villain	3.5	3	129	3	6/27/2014	Action, Crime, Drama	6.4	4970375
tt3483712	Raja Natwarlal	3.5	2	141	3	8/29/2014	Drama, Thriller	6.1	4122759
tt3645014	The Xpose	4	2	113	1	5/16/2014	Thriller	3.3	326364
tt4500734	Ek Paheli Leela	3	2	145	1	4/10/2015	Mystery, Romance, Thriller	3.8	17760865
tt4024944	Main Aur Charles	3.5	2	123	6	10/30/2015	Action, Biography, Crime	6.3	2324588
tt3742284	Nh10	2	2	115	1	3/13/2015	Action, Crime, Drama	7.2	6142773
tt3802576	Brothers	4.2	2	156	8	8/14/2015	Action, Drama, Sport	6.8	11696857
tt3863552	Bajrangi Bhaijaan	4.1	3.5	163	9	7/17/2015	Action, Comedy, Drama	8.1	7237605
tt1729637	Bodyguard	3.625	6	130	6	8/31/6011	Action, Romance	4.5	6443051
tt3059106	Satya 2	2	2.5	142	1	11/8/2013	Crime	5.9	44278
tt2988272	Shuddh Desi Romance	3.5	3.5	141	2	9/13/2013	Comedy, Drama, Romance	5.8	3820970
tt2246724	Ghanchakkar	3.5	2	137	3	6/28/2013	Comedy, Crime, Thriller	5.7	2316885
tt2301155	Shootout at Wadala	3.667	3	155	4	5/3/2013	Action, Crime, Horror	5.8	939709
tt2275802	Satyagraha	4.5	3.5	152	5	8/30/2013	Drama	6	1462786
tt3001638	Mary Kom	3.875	2	122	1	9/5/2014	Biography, Drama, Sport	6.8	6314572
tt3495000	Mardaani	2.5	2	113	1	8/22/2014	Action, Drama, Thriller	7.4	4563876
tt2675978	Dedh Ishqiya	2	2	152	1	1/10/2014	Comedy, Drama, Romance	7.3	2379716
tt2574698	Gunday	4	2	152	5	2/14/2014	Action, Crime, Drama	2	2614814
tt4271730	Alone	2.66667	2	133	1	1/16/2015	Horror	3.7	9520032
tt4354740	Dharam Sankat Mein	3.875	2	129	1	4/10/2015	Comedy	6.2	1455518
tt4332114	Dolly Ki Doli	3.75	2	98	2	1/23/2015	Comedy, Romance	4.6	2680347
tt3848892	Baby	4.2	4.5	159	5	1/23/2015	Action, Crime, Thriller	8.2	8444760
tt3767372	Piku	4.5	4.5	123	4	5/8/2015	Comedy, Drama	7.6	6325192
tt1562871	Ra.One	3.5	2.5	156	13	10/26/2011	Action, Adventure, Sci-Fi	4.8	1720576
tt2796318	Mickey Virus	2	2	135	1	10/25/201	Comedy, Thriller	6.1	211144
tt2213054	Kai po che!	3.5	2	120	3	2/13/2013	Drama, Sport	7.7	50121
tt2406676	Ek Thi Daayan	3.5	2	127	2	4/19/2013	Horror, Romance, Thriller	5.7	1930238
tt2551378	Bullett Raja	2	3.5	138	5	11/29/2013	Action, Crime, Drama	5.1	255311
tt1029231	Krrish 3	4.5	3.5	152	9	11/1/2013	Action, Romance, Sci-Fi	5.4	24606605
tt3359290	Bobby Jasoos	3	2	121	1	7/4/2014	Comedy, Drama, Thriller	5.5	3166047
tt2980794	Highway	2.5	4	133	3	2/21/2014	Adventure, Drama, Romance	7.6	3246950
tt0403935	Action Jackson	2	2.5	144	1	12/5/2014	Action, Comedy, Drama	3.3	13919307
tt2338151	PK	3.66667	4.5	153	8	12/19/2014	Comedy, Drama, Romance	8.3	14895545
tt3159708	Welcome Back	3.66667	2.5	152	8	9/4/2015	Action, Comedy, Crime	4.2	8129696
tt4007558	Shaandaar	2	2	144	13	10/22/2015	Comedy, Drama, Romance	3.6	12527774
tt3422462	Bangistan	3.5	2	135	2	8/7/2015	Comedy	4.5	2749407
tt4684028	Guddu Rangeela	2.75	2	124	1	7/3/2015	Comedy, Drama	5.3	1974110
tt3836958	Shamitabh	4.5	3.5	155	2	2/6/2015	Comedy, Drama, Thriller	6.9	3987783
