Rajat Arora	5.5
Keith Gomes	5.5
Sajid Nadiadwala	5.5
Chetan Bhagat	5.5
Rajat Arora (dialogue)	5.5
A.R. Murugadoss	5.5
Dilip Shukla	5.5
Althea Kaushal	5.4
Farah Khan	5.4
Mayur Puri (dialogue)	5.4
Piyush Gupta	6.9
Shreyas Jain (additional script writer)	6.9
Nikhil Mehrotra (additional script writer)	6.9
Nitesh Tiwari	6.9
Sudip Sharma	7.2
Saint Gurmeet Ram Rahim Singh Ji Insan	5.9
Umesh Shukla	3.9
Sumit Arora	3.9
Niren Bhatt	3.9
Mahesh Bhatt	6.6
Bobby Khan	3.8
Jojo Khan	3.8
Bunty Rathore (dialogue)	3.8
Sheershak Anand (adapted screenplay)	3.7
Shantanu Ray Chhibber (adapted screenplay)	3.7
Shagufta Rafique (dialogue)	3.7
Anees Bazmee	4.2
Rajeev Kaul	4.2
Rajeev Kaul	4.2
Anees Bazmee	4.2
Rajan Aggarwal	4.2
Praful Parekh	4.2
Raaj Shaandilyaa (dialogue)	4.2
Yunus Sajawal	5.4
Farhad (dialogue)	5.4
Sajid (dialogue)	5.4
Nagnath S. Inamdar (novel)	7.2
Sanjay Leela Bhansali (additional writer)	7.2
Prakash Kapadia	7.2
Vikram Bhatt (story and screenplay)	4.4
Anupam Saroj (dialogue)	4.4
Vikram Bhatt (dialogue)	4.4
Imtiaz Ali	7.2
K.C. Bokadia	2.7
Sachindra Sharma	3.2
Sooraj R. Barjatya (story and screenplay)	4.9
Aash Karan Atal (dialogue)	4.9
Sooraj R. Barjatya	4.9
Prawaal Raman	6.3
Sanjay Sharma	6.2
Alpesh Dixit	6.2
Vijay Desai	6.2
Vedish Jhaveri	6.2
Vikas Bahl	3.6
Chaitally Parmar	3.6
Anvita Dutt	3.6
Robin Bhatt	5.8
Sanjay Gupta	5.8
Kamlesh Pandey (dialogue)	5.8
Chintan Gandhi (dialogue)	5.5
Madhur Bhandarkar	4.0
Abhiruchi Chand	4.0
Anil Pandey	4.0
Rohit G. Banawlikar (dialogue)	4.0
Anukalp Goswami	6.0
Anukalp Goswami	6.0
Dheeraj Sarna	6.0
Vikram Bhatt	5.1
Vijayendra Prasad	8.5
S.S. Rajamouli	8.5
C.H. Vijay Kumar (telugu dialogue)	8.5
Ajay Kumar (telugu dialogue)	8.5
Madhan Karky (tamil dialogue)	8.5
Manoj Muntashir (hindi dialogue)	8.5
Chris Morgan	7.3
Gary Scott Thompson (characters)	7.3
Smeep Kang	4.0
Smeep Kang	4.0
Shreya Srivastava	4.0
Vaibhav Suman	4.0
Sudip Sharma	7.2
Abhishek Dogra	4.6
Uma Shankar Singh	4.6
Puneet Krishna	4.5
